Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(1723928k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=15 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=3145728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
44.322: [GC (Allocation Failure) 44.322: [ParNew: 81881K->1160K(92160K), 0.0025894 secs] 81881K->1160K(194560K), 0.0027948 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
989.882: [GC (Allocation Failure) 989.882: [ParNew: 81919K->0K(92160K), 0.0005640 secs] 82826K->907K(194560K), 0.0006727 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1005.941: [GC (Allocation Failure) 1005.941: [ParNew: 81919K->0K(92160K), 0.0006339 secs] 82827K->907K(194560K), 0.0007541 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1023.000: [GC (Allocation Failure) 1023.000: [ParNew: 81820K->0K(92160K), 0.0016394 secs] 82727K->907K(194560K), 0.0018734 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1039.055: [GC (Allocation Failure) 1039.055: [ParNew: 81820K->0K(92160K), 0.0017043 secs] 82727K->907K(194560K), 0.0018413 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1055.116: [GC (Allocation Failure) 1055.116: [ParNew: 81820K->0K(92160K), 0.0033134 secs] 82727K->907K(194560K), 0.0041832 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1072.181: [GC (Allocation Failure) 1072.181: [ParNew: 81820K->0K(92160K), 0.0020381 secs] 82728K->907K(194560K), 0.0021549 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1088.246: [GC (Allocation Failure) 1088.246: [ParNew: 81820K->0K(92160K), 0.0016007 secs] 82728K->907K(194560K), 0.0018024 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1104.313: [GC (Allocation Failure) 1104.313: [ParNew: 81820K->0K(92160K), 0.0014297 secs] 82728K->907K(194560K), 0.0016841 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1121.376: [GC (Allocation Failure) 1121.376: [ParNew: 81820K->0K(92160K), 0.0013460 secs] 82728K->907K(194560K), 0.0015848 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1137.432: [GC (Allocation Failure) 1137.432: [ParNew: 81820K->0K(92160K), 0.0013840 secs] 82728K->907K(194560K), 0.0016932 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1153.489: [GC (Allocation Failure) 1153.489: [ParNew: 81820K->0K(92160K), 0.0014224 secs] 82728K->907K(194560K), 0.0016011 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
1170.552: [GC (Allocation Failure) 1170.552: [ParNew: 81820K->0K(92160K), 0.0013362 secs] 82728K->907K(194560K), 0.0015842 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1186.615: [GC (Allocation Failure) 1186.615: [ParNew: 81820K->0K(92160K), 0.0012656 secs] 82728K->907K(194560K), 0.0014984 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1202.678: [GC (Allocation Failure) 1202.678: [ParNew: 81820K->0K(92160K), 0.0009024 secs] 82728K->907K(194560K), 0.0010747 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1219.744: [GC (Allocation Failure) 1219.744: [ParNew: 81820K->0K(92160K), 0.0014948 secs] 82728K->907K(194560K), 0.0017966 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
1235.811: [GC (Allocation Failure) 1235.811: [ParNew: 81820K->0K(92160K), 0.0013274 secs] 82728K->907K(194560K), 0.0015148 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1251.869: [GC (Allocation Failure) 1251.869: [ParNew: 81820K->0K(92160K), 0.0013474 secs] 82728K->907K(194560K), 0.0016020 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1268.927: [GC (Allocation Failure) 1268.927: [ParNew: 81820K->0K(92160K), 0.0015774 secs] 82728K->907K(194560K), 0.0017853 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1284.990: [GC (Allocation Failure) 1284.990: [ParNew: 81820K->0K(92160K), 0.0010927 secs] 82728K->907K(194560K), 0.0011841 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1301.057: [GC (Allocation Failure) 1301.057: [ParNew: 81820K->0K(92160K), 0.0013381 secs] 82728K->907K(194560K), 0.0015677 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1318.136: [GC (Allocation Failure) 1318.137: [ParNew: 81820K->0K(92160K), 0.0025946 secs] 82728K->907K(194560K), 0.0027886 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1334.194: [GC (Allocation Failure) 1334.194: [ParNew: 81820K->0K(92160K), 0.0013647 secs] 82728K->907K(194560K), 0.0016004 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1350.256: [GC (Allocation Failure) 1350.256: [ParNew: 81820K->0K(92160K), 0.0014775 secs] 82728K->907K(194560K), 0.0017082 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1367.331: [GC (Allocation Failure) 1367.331: [ParNew: 81820K->0K(92160K), 0.0013981 secs] 82728K->907K(194560K), 0.0016639 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
1383.377: [GC (Allocation Failure) 1383.377: [ParNew: 81820K->0K(92160K), 0.0015196 secs] 82728K->907K(194560K), 0.0017532 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1399.438: [GC (Allocation Failure) 1399.438: [ParNew: 81820K->0K(92160K), 0.0014467 secs] 82728K->907K(194560K), 0.0016567 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1416.493: [GC (Allocation Failure) 1416.493: [ParNew: 81820K->0K(92160K), 0.0018131 secs] 82728K->907K(194560K), 0.0019633 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1432.552: [GC (Allocation Failure) 1432.552: [ParNew: 81820K->0K(92160K), 0.0029180 secs] 82728K->907K(194560K), 0.0031710 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1448.625: [GC (Allocation Failure) 1448.625: [ParNew: 81820K->0K(92160K), 0.0031912 secs] 82728K->907K(194560K), 0.0033463 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1465.697: [GC (Allocation Failure) 1465.697: [ParNew: 81820K->0K(92160K), 0.0013182 secs] 82728K->907K(194560K), 0.0015590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1481.754: [GC (Allocation Failure) 1481.754: [ParNew: 81820K->0K(92160K), 0.0011417 secs] 82728K->907K(194560K), 0.0012244 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1497.805: [GC (Allocation Failure) 1497.805: [ParNew: 81820K->0K(92160K), 0.0008720 secs] 82728K->907K(194560K), 0.0010251 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1514.889: [GC (Allocation Failure) 1514.889: [ParNew: 81820K->0K(92160K), 0.0021877 secs] 82728K->907K(194560K), 0.0024951 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1530.948: [GC (Allocation Failure) 1530.948: [ParNew: 81820K->0K(92160K), 0.0012375 secs] 82728K->907K(194560K), 0.0014288 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1547.001: [GC (Allocation Failure) 1547.001: [ParNew: 81820K->0K(92160K), 0.0015042 secs] 82728K->907K(194560K), 0.0017248 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
1564.069: [GC (Allocation Failure) 1564.069: [ParNew: 81820K->0K(92160K), 0.0028475 secs] 82728K->907K(194560K), 0.0030629 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1580.133: [GC (Allocation Failure) 1580.133: [ParNew: 81820K->0K(92160K), 0.0012366 secs] 82728K->907K(194560K), 0.0014888 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1596.187: [GC (Allocation Failure) 1596.187: [ParNew: 81820K->0K(92160K), 0.0012901 secs] 82728K->907K(194560K), 0.0015106 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1613.253: [GC (Allocation Failure) 1613.253: [ParNew: 81820K->0K(92160K), 0.0010005 secs] 82728K->907K(194560K), 0.0011815 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1629.310: [GC (Allocation Failure) 1629.310: [ParNew: 81820K->0K(92160K), 0.0025064 secs] 82728K->907K(194560K), 0.0026355 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1645.371: [GC (Allocation Failure) 1645.371: [ParNew: 81820K->0K(92160K), 0.0013291 secs] 82728K->907K(194560K), 0.0015668 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1662.440: [GC (Allocation Failure) 1662.440: [ParNew: 81820K->0K(92160K), 0.0013572 secs] 82728K->907K(194560K), 0.0016161 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1678.498: [GC (Allocation Failure) 1678.498: [ParNew: 81820K->0K(92160K), 0.0014892 secs] 82728K->907K(194560K), 0.0017293 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1694.562: [GC (Allocation Failure) 1694.562: [ParNew: 81820K->0K(92160K), 0.0013783 secs] 82728K->907K(194560K), 0.0015855 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
1711.623: [GC (Allocation Failure) 1711.623: [ParNew: 81820K->0K(92160K), 0.0011548 secs] 82728K->907K(194560K), 0.0012494 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1727.683: [GC (Allocation Failure) 1727.683: [ParNew: 81820K->0K(92160K), 0.0003684 secs] 82728K->907K(194560K), 0.0004647 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1743.735: [GC (Allocation Failure) 1743.735: [ParNew: 81820K->0K(92160K), 0.0004805 secs] 82728K->907K(194560K), 0.0005804 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1760.796: [GC (Allocation Failure) 1760.796: [ParNew: 81820K->0K(92160K), 0.0010684 secs] 82728K->907K(194560K), 0.0011914 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1776.840: [GC (Allocation Failure) 1776.840: [ParNew: 81820K->0K(92160K), 0.0008308 secs] 82728K->907K(194560K), 0.0009570 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
1792.887: [GC (Allocation Failure) 1792.887: [ParNew: 81820K->0K(92160K), 0.0013855 secs] 82728K->907K(194560K), 0.0016047 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1809.946: [GC (Allocation Failure) 1809.946: [ParNew: 81820K->0K(92160K), 0.0013934 secs] 82728K->907K(194560K), 0.0016400 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
Heap
 par new generation   total 92160K, used 45936K [0x00000007b3800000, 0x00000007b9c00000, 0x00000007b9c00000)
  eden space 81920K,  56% used [0x00000007b3800000, 0x00000007b64dc190, 0x00000007b8800000)
  from space 10240K,   0% used [0x00000007b9200000, 0x00000007b9200000, 0x00000007b9c00000)
  to   space 10240K,   0% used [0x00000007b8800000, 0x00000007b8800000, 0x00000007b9200000)
 concurrent mark-sweep generation total 102400K, used 907K [0x00000007b9c00000, 0x00000007c0000000, 0x00000007c0000000)
 Metaspace       used 3728K, capacity 4536K, committed 4864K, reserved 1056768K
  class space    used 415K, capacity 428K, committed 512K, reserved 1048576K
